2018-01-05 16:14:57,601  INFO   [qtp613630562-6059] - 631015012 1079786539 TOTAL time=50 Preprocessing time=0 Persistency time=50 Change Date=[1515168897484]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 16:15:11,436  INFO   [qtp613630562-6084] - 1315163229 1428495856 TOTAL time=11 Preprocessing time=0 Persistency time=11 Change Date=[1515168911421]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:15:11,476  INFO   [qtp613630562-6084] - 1315163229 1428495856 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1515168911421]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 16:15:12,698  INFO   [qtp613630562-6084] - 499422940 888130086 TOTAL time=19 Preprocessing time=0 Persistency time=19 Change Date=[1515168912648]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 16:19:14,289  INFO   [qtp613630562-6097] - 1661817524 1326843461 TOTAL time=20 Preprocessing time=0 Persistency time=20 Change Date=[1515169154262]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:19:14,368  INFO   [qtp613630562-6097] - 1661817524 1326843461 TOTAL time=18 Preprocessing time=0 Persistency time=18 Change Date=[1515169154262]  Objects- A:[0], U:[1], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:19:14,396  INFO   [qtp613630562-6097] - 1661817524 1326843461 TOTAL time=17 Preprocessing time=0 Persistency time=17 Change Date=[1515169154262]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-01-05 16:19:16,521  INFO   [qtp613630562-6098] - 2094199142 1933145610 TOTAL time=9 Preprocessing time=0 Persistency time=9 Change Date=[1515169156493]  Objects- A:[0], U:[1], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:36:10,354  INFO   [qtp613630562-6164] - 1170269426 1357418957 TOTAL time=15 Preprocessing time=0 Persistency time=15 Change Date=[1515170170299]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:36:13,917  INFO   [qtp613630562-6164] - 824013127 2118217886 TOTAL time=16 Preprocessing time=0 Persistency time=16 Change Date=[1515170173840]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 16:41:23,404  INFO   [qtp613630562-6139] - 1394151865 805070839 TOTAL time=20 Preprocessing time=0 Persistency time=20 Change Date=[1515170483298]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
2018-01-05 16:41:23,662  INFO   [qtp613630562-6164] - 1920941626 668858444 TOTAL time=18 Preprocessing time=0 Persistency time=18 Change Date=[1515170483584]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[2]     
2018-01-05 16:41:24,286  INFO   [qtp613630562-6164] - 1159868155 1140823464 TOTAL time=10 Preprocessing time=0 Persistency time=10 Change Date=[1515170484245]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[0]     
2018-01-05 16:41:26,479  INFO   [qtp613630562-6164] - 1801550166 1412906510 TOTAL time=17 Preprocessing time=0 Persistency time=17 Change Date=[1515170486410]  Objects- A:[0], U:[0], R:[1]; Links- A:[0], U:[0], R:[1]     
